,odd src,odd href,odd,silver,odd (2),odd href (2),dbclubcrest src,odd href (3),dbclubcrest src (2),odd href (4),dbnationflag src,swapHeader,swapHeader (2),swapHeader (3),swapHeader (4),swapHeader (5),swapHeader (6),odd (3),odd (4),even src,even href,even,even (2),even href (2),even href (3),even href (4),even (3),even (4),silverrare,bronze,bronzerare,gold,goldrare,legend,carniball,goldif
27,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/112558.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/83.png,,https://static.wefut.com/assets/images/nation_flag/167.jpg,72,61,57,72,20,62,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9976/jeong-min-ki,Jeong Min Ki,GK,https://wefut.com/club/112558/25,https://wefut.com/league/83/25,https://wefut.com/nation/167/25,2★,1★,,,,,,,,
28,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9975/simao-bertelli,Simão Bertelli,66.0,GK,https://wefut.com/club/131463/25,https://static.wefut.com/assets/images/fut25/clubbadges/131463.png,https://wefut.com/league/308/25,https://static.wefut.com/assets/images/fut25/leaguebadges/308.png,https://wefut.com/nation/54/25,https://static.wefut.com/assets/images/nation_flag/54.jpg,68,65,64,67,27,66,2★,1★,,,,,,,,,,,,,,,,,
29,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/131388.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/68.png,,https://static.wefut.com/assets/images/nation_flag/38.jpg,67,64,60,66,33,65,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9974/diogo-sousa,Diogo Sousa,GK,https://wefut.com/club/131388/25,https://wefut.com/league/68/25,https://wefut.com/nation/38/25,2★,1★,,,,,,,,
30,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9960/ben-voll,Ben Voll,66.0,GK,https://wefut.com/club/110329/25,https://static.wefut.com/assets/images/fut25/clubbadges/110329.png,https://wefut.com/league/19/25,https://static.wefut.com/assets/images/fut25/leaguebadges/19.png,https://wefut.com/nation/21/25,https://static.wefut.com/assets/images/nation_flag/21.jpg,67,64,65,68,24,65,3★,1★,,,,,,,,,,,,,,,,,
31,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/820.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/1.png,,https://static.wefut.com/assets/images/nation_flag/21.jpg,66,64,66,67,29,66,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9957/vincent-muller,Vincent Müller,GK,https://wefut.com/club/820/25,https://wefut.com/league/1/25,https://wefut.com/nation/21/25,2★,1★,,,,,,,,
32,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9955/niclas-thiede,Niclas Thiede,66.0,GK,https://wefut.com/club/110176/25,https://static.wefut.com/assets/images/fut25/clubbadges/110176.png,https://wefut.com/league/20/25,https://static.wefut.com/assets/images/fut25/leaguebadges/20.png,https://wefut.com/nation/21/25,https://static.wefut.com/assets/images/nation_flag/21.jpg,65,65,61,70,44,64,4★,1★,,,,,,,,,,,,,,,,,
33,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/744.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/308.png,,https://static.wefut.com/assets/images/nation_flag/37.jpg,67,65,64,70,34,66,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9941/cezary-miszta,Cezary Miszta,GK,https://wefut.com/club/744/25,https://wefut.com/league/308/25,https://wefut.com/nation/37/25,2★,1★,,,,,,,,
34,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9929/conor-kearns,Conor Kearns,66.0,GK,https://wefut.com/club/834/25,https://static.wefut.com/assets/images/fut25/clubbadges/834.png,https://wefut.com/league/65/25,https://static.wefut.com/assets/images/fut25/leaguebadges/65.png,https://wefut.com/nation/25/25,https://static.wefut.com/assets/images/nation_flag/25.jpg,65,64,60,68,31,66,2★,1★,,,,,,,,,,,,,,,,,
35,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/112689.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/353.png,,https://static.wefut.com/assets/images/nation_flag/52.jpg,66,68,67,66,49,61,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9921/juan-pablo-cozzani,Juan Pablo Cozzani,GK,https://wefut.com/club/112689/25,https://wefut.com/league/353/25,https://wefut.com/nation/52/25,2★,1★,,,,,,,,
36,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9905/christian-joel-sanchez,Christian Joel Sánchez,66.0,GK,https://wefut.com/club/459/25,https://static.wefut.com/assets/images/fut25/clubbadges/459.png,https://wefut.com/league/54/25,https://static.wefut.com/assets/images/fut25/leaguebadges/54.png,https://wefut.com/nation/73/25,https://static.wefut.com/assets/images/nation_flag/73.jpg,66,64,72,67,40,64,3★,1★,,,,,,,,,,,,,,,,,
37,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/1904.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/10.png,,https://static.wefut.com/assets/images/nation_flag/37.jpg,69,65,62,67,38,65,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9882/daniel-bielica,Daniel Bielica,GK,https://wefut.com/club/1904/25,https://wefut.com/league/10/25,https://wefut.com/nation/37/25,2★,1★,,,,,,,,
38,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9871/luis-ingolotti,Luis Ingolotti,66.0,GK,https://wefut.com/club/112965/25,https://static.wefut.com/assets/images/fut25/clubbadges/112965.png,https://wefut.com/league/353/25,https://static.wefut.com/assets/images/fut25/leaguebadges/353.png,https://wefut.com/nation/52/25,https://static.wefut.com/assets/images/nation_flag/52.jpg,68,66,58,66,31,65,2★,1★,,,,,,,,,,,,,,,,,
39,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/12.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/14.png,,https://static.wefut.com/assets/images/nation_flag/14.jpg,65,65,62,66,33,65,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9860/sol-brynn,Sol Brynn,GK,https://wefut.com/club/12/25,https://wefut.com/league/14/25,https://wefut.com/nation/14/25,2★,1★,,,,,,,,
40,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9855/jt-marcinkowski,JT Marcinkowski,66.0,GK,https://wefut.com/club/111928/25,https://static.wefut.com/assets/images/fut25/clubbadges/111928.png,https://wefut.com/league/39/25,https://static.wefut.com/assets/images/fut25/leaguebadges/39.png,https://wefut.com/nation/95/25,https://static.wefut.com/assets/images/nation_flag/95.jpg,67,63,69,68,22,66,2★,1★,,,,,,,,,,,,,,,,,
41,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/112584.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/1014.png,,https://static.wefut.com/assets/images/nation_flag/55.jpg,62,65,67,65,28,70,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9841/claudio-gonzalez,Claudio González,GK,https://wefut.com/club/112584/25,https://wefut.com/league/1014/25,https://wefut.com/nation/55/25,2★,1★,,,,,,,,
42,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9838/joaquin-blazquez,Joaquín Blázquez,66.0,GK,https://wefut.com/club/112670/25,https://static.wefut.com/assets/images/fut25/clubbadges/112670.png,https://wefut.com/league/1003/25,https://static.wefut.com/assets/images/fut25/leaguebadges/1003.png,https://wefut.com/nation/52/25,https://static.wefut.com/assets/images/nation_flag/52.jpg,65,61,65,70,23,68,3★,1★,,,,,,,,,,,,,,,,,
43,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/81.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/50.png,,https://static.wefut.com/assets/images/nation_flag/14.jpg,65,65,64,69,40,64,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9814/josef-bursik,Josef Bursik,GK,https://wefut.com/club/81/25,https://wefut.com/league/50/25,https://wefut.com/nation/14/25,2★,1★,,,,,,,,
44,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9794/nicolas-schmid,Nicolas Schmid,66.0,GK,https://wefut.com/club/1790/25,https://static.wefut.com/assets/images/fut25/clubbadges/1790.png,https://wefut.com/league/14/25,https://static.wefut.com/assets/images/fut25/leaguebadges/14.png,https://wefut.com/nation/4/25,https://static.wefut.com/assets/images/nation_flag/4.jpg,63,65,68,70,31,65,4★,1★,,,,,,,,,,,,,,,,,
45,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/378.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/16.png,,https://static.wefut.com/assets/images/nation_flag/18.jpg,68,62,59,68,34,63,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9779/gregoire-coudert,Grégoire Coudert,GK,https://wefut.com/club/378/25,https://wefut.com/league/16/25,https://wefut.com/nation/18/25,3★,1★,,,,,,,,
46,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9759/alvaro-villete,Álvaro Villete,66.0,GK,https://wefut.com/club/112914/25,https://static.wefut.com/assets/images/fut25/clubbadges/112914.png,https://wefut.com/league/1014/25,https://static.wefut.com/assets/images/fut25/leaguebadges/1014.png,https://wefut.com/nation/60/25,https://static.wefut.com/assets/images/nation_flag/60.jpg,65,63,62,63,26,67,2★,1★,,,,,,,,,,,,,,,,,
47,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/325.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/68.png,,https://static.wefut.com/assets/images/nation_flag/48.jpg,67,65,62,69,24,66,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9752/batuhan-sen,Batuhan Şen,GK,https://wefut.com/club/325/25,https://wefut.com/league/68/25,https://wefut.com/nation/48/25,2★,1★,,,,,,,,
48,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9744/isak-pettersson,Isak Pettersson,66.0,GK,https://wefut.com/club/700/25,https://static.wefut.com/assets/images/fut25/clubbadges/700.png,https://wefut.com/league/56/25,https://static.wefut.com/assets/images/fut25/leaguebadges/56.png,https://wefut.com/nation/46/25,https://static.wefut.com/assets/images/nation_flag/46.jpg,66,60,69,68,44,63,3★,1★,,,,,,,,,,,,,,,,,
49,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/741.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/68.png,,https://static.wefut.com/assets/images/nation_flag/48.jpg,65,65,61,66,30,68,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9731/ataberk-dadakdeniz,Ataberk Dadakdeniz,GK,https://wefut.com/club/741/25,https://wefut.com/league/68/25,https://wefut.com/nation/48/25,3★,1★,,,,,,,,
50,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9725/giacomo-satalino,Giacomo Satalino,66.0,GK,https://wefut.com/club/111974/25,https://static.wefut.com/assets/images/fut25/clubbadges/111974.png,https://wefut.com/league/32/25,https://static.wefut.com/assets/images/fut25/leaguebadges/32.png,https://wefut.com/nation/27/25,https://static.wefut.com/assets/images/nation_flag/27.jpg,68,64,56,69,21,66,2★,1★,,,,,,,,,,,,,,,,,
51,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/110724.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/4.png,,https://static.wefut.com/assets/images/nation_flag/7.jpg,69,65,72,65,35,66,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9722/ortwin-de-wolf,Ortwin De Wolf,GK,https://wefut.com/club/110724/25,https://wefut.com/league/4/25,https://wefut.com/nation/7/25,3★,1★,,,,,,,,
52,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9718/adam-varga,Ádám Varga,66.0,GK,https://wefut.com/club/1874/25,https://static.wefut.com/assets/images/fut25/clubbadges/1874.png,https://wefut.com/league/2211/25,https://static.wefut.com/assets/images/fut25/leaguebadges/2211.png,https://wefut.com/nation/23/25,https://static.wefut.com/assets/images/nation_flag/23.jpg,70,64,62,66,27,65,2★,1★,,,,,,,,,,,,,,,,,
53,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/1960.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/14.png,,https://static.wefut.com/assets/images/nation_flag/14.jpg,66,64,68,67,34,65,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9703/andy-fisher,Andy Fisher,GK,https://wefut.com/club/1960/25,https://wefut.com/league/14/25,https://wefut.com/nation/14/25,3★,1★,,,,,,,,
54,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9685/tom-glover,Tom Glover,66.0,GK,https://wefut.com/club/12/25,https://static.wefut.com/assets/images/fut25/clubbadges/12.png,https://wefut.com/league/14/25,https://static.wefut.com/assets/images/fut25/leaguebadges/14.png,https://wefut.com/nation/195/25,https://static.wefut.com/assets/images/nation_flag/195.jpg,68,61,63,68,32,65,3★,1★,,,,,,,,,,,,,,,,,
55,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/537.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/4.png,,https://static.wefut.com/assets/images/nation_flag/34.jpg,67,64,68,67,17,63,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9675/michael-verrips,Michael Verrips,GK,https://wefut.com/club/537/25,https://wefut.com/league/4/25,https://wefut.com/nation/34/25,3★,1★,,,,,,,,
56,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9661/miguel-vargas,Miguel Vargas,66.0,GK,https://wefut.com/club/131161/25,https://static.wefut.com/assets/images/fut25/clubbadges/131161.png,https://wefut.com/league/1014/25,https://static.wefut.com/assets/images/fut25/leaguebadges/1014.png,https://wefut.com/nation/55/25,https://static.wefut.com/assets/images/nation_flag/55.jpg,62,69,64,65,43,66,2★,1★,,,,,,,,,,,,,,,,,
57,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/820.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/1.png,,https://static.wefut.com/assets/images/nation_flag/34.jpg,69,63,61,68,36,62,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9659/rody-de-boer,Rody de Boer,GK,https://wefut.com/club/820/25,https://wefut.com/league/1/25,https://wefut.com/nation/34/25,3★,1★,,,,,,,,
58,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9644/jack-walton,Jack Walton,66.0,GK,https://wefut.com/club/181/25,https://static.wefut.com/assets/images/fut25/clubbadges/181.png,https://wefut.com/league/50/25,https://static.wefut.com/assets/images/fut25/leaguebadges/50.png,https://wefut.com/nation/14/25,https://static.wefut.com/assets/images/nation_flag/14.jpg,66,63,63,65,34,67,2★,1★,,,,,,,,,,,,,,,,,
